+----+---------------------+---------------------+---------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+
|    |         xi          |         xm          |         xs          |         f(xi)          |         f(xm)          |         f(xs)          |       Err abs         |        Err Rel         |
+----+---------------------+---------------------+---------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+
| 1  |         0.0         |         1.5         |         3.0         |   -1.00000000000000    |    1.48714739240109    |    2.33008382305190    |          1.5          |          1.0           |
| 2  |         0.0         |        0.75         |         1.5         |   -1.00000000000000    |   0.676830922848317    |    1.48714739240109    |         0.75          |          1.0           |
| 3  |         0.0         |        0.375        |        0.75         |   -1.00000000000000    |   0.0380800728229945   |   0.676830922848317    |         0.375         |          1.0           |
| 4  |         0.0         |       0.1875        |        0.375        |   -1.00000000000000    |   -0.385884765875541   |   0.0380800728229945   |        0.1875         |          1.0           |
| 5  |       0.1875        |       0.28125       |        0.375        |   -0.385884765875541   |   -0.162175534004082   |   0.0380800728229945   |        0.09375        |   0.3333333333333333   |
| 6  |       0.28125       |      0.328125       |        0.375        |   -0.162175534004082   |  -0.0594672782777775   |   0.0380800728229945   |       0.046875        |  0.14285714285714285   |
| 7  |      0.328125       |      0.3515625      |        0.375        |  -0.0594672782777775   |  -0.0100818430282326   |   0.0380800728229945   |       0.0234375       |  0.06666666666666667   |
| 8  |      0.3515625      |     0.36328125      |        0.375        |  -0.0100818430282326   |   0.0141483265585221   |   0.0380800728229945   |      0.01171875       |  0.03225806451612903   |
| 9  |      0.3515625      |     0.357421875     |     0.36328125      |  -0.0100818430282326   |  0.00207099375669173   |   0.0141483265585221   |      0.005859375      |  0.01639344262295082   |
| 10 |      0.3515625      |    0.3544921875     |     0.357421875     |  -0.0100818430282326   |  -0.00399592908983737  |  0.00207099375669173   |     0.0029296875      |  0.008264462809917356  |
| 11 |    0.3544921875     |    0.35595703125    |     0.357421875     |  -0.00399592908983737  | -0.000960101038834593  |  0.00207099375669173   |     0.00146484375     |  0.00411522633744856   |
| 12 |    0.35595703125    |   0.356689453125    |     0.357421875     | -0.000960101038834593  |  0.000556037114295527  |  0.00207099375669173   |    0.000732421875     |  0.002053388090349076  |
| 13 |    0.35595703125    |   0.3563232421875   |   0.356689453125    | -0.000960101038834593  | -0.000201884160987431  |  0.000556037114295527  |    0.0003662109375    | 0.0010277492291880781  |
| 14 |   0.3563232421875   |  0.35650634765625   |   0.356689453125    | -0.000201884160987431  |  0.000177113412903607  |  0.000556037114295527  |   0.00018310546875    | 0.0005136106831022085  |
| 15 |   0.3563232421875   |  0.356414794921875  |  0.35650634765625   | -0.000201884160987431  | -0.0000123761382216925 |  0.000177113412903607  |   9.1552734375e-05    | 0.00025687130747495504 |
| 16 |  0.356414794921875  | 0.3564605712890625  |  0.35650634765625   | -0.0000123761382216925 | 0.0000823709460762156  |  0.000177113412903607  |   4.57763671875e-05   | 0.0001284191601386927  |
| 17 |  0.356414794921875  | 0.35643768310546875 | 0.3564605712890625  | -0.0000123761382216925 | 0.0000349979811384848  | 0.0000823709460762156  |  2.288818359375e-05   | 6.421370320426378e-05  |
| 18 |  0.356414794921875  | 0.3564262390136719  | 0.35643768310546875 | -0.0000123761382216925 | 0.0000113110657646853  | 0.0000349979811384848  |  1.1444091796875e-05  |  3.21078824851501e-05  |
| 19 |  0.356414794921875  | 0.35642051696777344 | 0.3564262390136719  | -0.0000123761382216925 |  -5.32500151417814E-7  | 0.0000113110657646853  |  5.7220458984375e-06  | 1.6054198975742105e-05 |
| 20 | 0.35642051696777344 | 0.35642337799072266 | 0.3564262390136719  |  -5.32500151417814E-7  | 0.00000538929182580805 | 0.0000113110657646853  | 2.86102294921875e-06  | 8.027035054062081e-06  |
| 21 | 0.35642051696777344 | 0.35642194747924805 | 0.35642337799072266 |  -5.32500151417814E-7  | 0.00000242839809194706 | 0.00000538929182580805 | 1.430511474609375e-06 | 4.0135336354186316e-06 |
| 22 | 0.35642051696777344 | 0.35642123222351074 | 0.35642194747924805 |  -5.32500151417814E-7  |  9.47949533869341E-7   | 0.00000242839809194706 | 7.152557373046875e-07 | 2.006770844830458e-06  |
+----+---------------------+---------------------+---------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+
